"","0","1","p","test"
"n","305","1555","",""
"age_cat (%)","","","   NaN",""
"   18-29 yr"," 21 ( 6.9) "," 269 (17.3) ","",""
"   30-39 yr"," 27 ( 8.9) "," 133 ( 8.6) ","",""
"   40-49 yr"," 27 ( 8.9) "," 242 (15.6) ","",""
"   50-59 yr"," 52 (17.0) "," 197 (12.7) ","",""
"   60-69 yr"," 50 (16.4) "," 191 (12.3) ","",""
"   70-79 yr"," 53 (17.4) "," 233 (15.0) ","",""
"   80-89 yr"," 50 (16.4) "," 229 (14.7) ","",""
"   90 yr","  0 ( 0.0) ","   0 ( 0.0) ","",""
"   >=90 yr"," 25 ( 8.2) ","  61 ( 3.9) ","",""
"gender = M (%)","192 (63.0) ","1000 (64.3) "," 0.699",""
"surg = 1 (%)"," 73 (23.9) "," 363 (23.3) "," 0.882",""
"has_chronic_lung_conditions = 1 (%)"," 69 (22.6) "," 196 (12.6) ","<0.001",""
"has_chronic_heart_problems = 1 (%)","161 (52.8) "," 537 (34.5) ","<0.001",""
"has_diabetes = 1 (%)"," 55 (18.0) "," 238 (15.3) "," 0.267",""
"has_hypertension = 1 (%)","119 (39.0) "," 500 (32.2) "," 0.024",""
"sofa (%)","","","<0.001",""
"   0","  4 ( 1.3) ","   7 ( 0.5) ","",""
"   1"," 32 (10.5) ","  37 ( 2.4) ","",""
"   2"," 18 ( 5.9) ","  47 ( 3.0) ","",""
"   3"," 32 (10.5) "," 105 ( 6.8) ","",""
"   4"," 25 ( 8.2) "," 255 (16.4) ","",""
"   5"," 24 ( 7.9) "," 250 (16.1) ","",""
"   6"," 18 ( 5.9) "," 163 (10.5) ","",""
"   7"," 31 (10.2) "," 166 (10.7) ","",""
"   8"," 39 (12.8) "," 154 ( 9.9) ","",""
"   9"," 23 ( 7.5) "," 108 ( 6.9) ","",""
"   10"," 16 ( 5.2) ","  73 ( 4.7) ","",""
"   11"," 15 ( 4.9) ","  64 ( 4.1) ","",""
"   12","  6 ( 2.0) ","  53 ( 3.4) ","",""
"   13","  7 ( 2.3) ","  30 ( 1.9) ","",""
"   14","  7 ( 2.3) ","  16 ( 1.0) ","",""
"   15","  4 ( 1.3) ","  16 ( 1.0) ","",""
"   16","  1 ( 0.3) ","   8 ( 0.5) ","",""
"   17","  1 ( 0.3) ","   3 ( 0.2) ","",""
"   20","  1 ( 0.3) ","   0 ( 0.0) ","",""
"   22","  1 ( 0.3) ","   0 ( 0.0) ","",""
"oasis (%)","","","<0.001",""
"   14","  1 ( 0.3) ","   0 ( 0.0) ","",""
"   16","  1 ( 0.3) ","   1 ( 0.1) ","",""
"   17","  2 ( 0.7) ","   3 ( 0.2) ","",""
"   18"," 11 ( 3.6) ","   4 ( 0.3) ","",""
"   19","  3 ( 1.0) ","   3 ( 0.2) ","",""
"   20","  3 ( 1.0) ","   6 ( 0.4) ","",""
"   21","  5 ( 1.6) ","   8 ( 0.5) ","",""
"   22","  4 ( 1.3) ","   9 ( 0.6) ","",""
"   23","  3 ( 1.0) ","   5 ( 0.3) ","",""
"   24","  6 ( 2.0) ","   7 ( 0.5) ","",""
"   25","  8 ( 2.6) ","  15 ( 1.0) ","",""
"   26","  9 ( 3.0) ","  16 ( 1.0) ","",""
"   27"," 14 ( 4.6) ","  10 ( 0.6) ","",""
"   28","  8 ( 2.6) ","  10 ( 0.6) ","",""
"   29","  8 ( 2.6) ","  25 ( 1.6) ","",""
"   30","  7 ( 2.3) ","  22 ( 1.4) ","",""
"   31"," 12 ( 3.9) ","  24 ( 1.5) ","",""
"   32","  9 ( 3.0) ","  22 ( 1.4) ","",""
"   33","  9 ( 3.0) ","  39 ( 2.5) ","",""
"   34","  5 ( 1.6) ","  35 ( 2.3) ","",""
"   35","  5 ( 1.6) ","  41 ( 2.6) ","",""
"   36","  8 ( 2.6) ","  55 ( 3.5) ","",""
"   37"," 13 ( 4.3) ","  56 ( 3.6) ","",""
"   38","  7 ( 2.3) ","  56 ( 3.6) ","",""
"   39","  7 ( 2.3) ","  85 ( 5.5) ","",""
"   40"," 14 ( 4.6) ","  72 ( 4.6) ","",""
"   41"," 12 ( 3.9) ","  87 ( 5.6) ","",""
"   42","  8 ( 2.6) ","  99 ( 6.4) ","",""
"   43"," 12 ( 3.9) ","  80 ( 5.1) ","",""
"   44"," 10 ( 3.3) ","  92 ( 5.9) ","",""
"   45","  8 ( 2.6) ","  58 ( 3.7) ","",""
"   46","  5 ( 1.6) ","  58 ( 3.7) ","",""
"   47","  5 ( 1.6) ","  73 ( 4.7) ","",""
"   48","  7 ( 2.3) ","  53 ( 3.4) ","",""
"   49","  9 ( 3.0) ","  57 ( 3.7) ","",""
"   50","  9 ( 3.0) ","  42 ( 2.7) ","",""
"   51","  5 ( 1.6) ","  43 ( 2.8) ","",""
"   52","  5 ( 1.6) ","  42 ( 2.7) ","",""
"   53","  4 ( 1.3) ","  30 ( 1.9) ","",""
"   54","  2 ( 0.7) ","  15 ( 1.0) ","",""
"   55","  3 ( 1.0) ","  28 ( 1.8) ","",""
"   56","  6 ( 2.0) ","  10 ( 0.6) ","",""
"   57","  4 ( 1.3) ","  15 ( 1.0) ","",""
"   58","  2 ( 0.7) ","  16 ( 1.0) ","",""
"   59","  3 ( 1.0) ","   8 ( 0.5) ","",""
"   60","  2 ( 0.7) ","   3 ( 0.2) ","",""
"   61","  0 ( 0.0) ","   6 ( 0.4) ","",""
"   62","  1 ( 0.3) ","   2 ( 0.1) ","",""
"   63","  0 ( 0.0) ","   3 ( 0.2) ","",""
"   64","  1 ( 0.3) ","   3 ( 0.2) ","",""
"   65","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   66","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   69","  0 ( 0.0) ","   1 ( 0.1) ","",""
"saps (%)","","","<0.001",""
"   6","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   7","  2 ( 0.7) ","   2 ( 0.1) ","",""
"   8","  2 ( 0.7) ","   0 ( 0.0) ","",""
"   9","  1 ( 0.3) ","   2 ( 0.1) ","",""
"   10","  3 ( 1.0) ","  11 ( 0.7) ","",""
"   11","  8 ( 2.6) ","  17 ( 1.1) ","",""
"   12"," 16 ( 5.2) ","  16 ( 1.0) ","",""
"   13","  7 ( 2.3) ","  27 ( 1.7) ","",""
"   14","  9 ( 3.0) ","  42 ( 2.7) ","",""
"   15"," 14 ( 4.6) ","  43 ( 2.8) ","",""
"   16"," 24 ( 7.9) ","  71 ( 4.6) ","",""
"   17"," 21 ( 6.9) ","  88 ( 5.7) ","",""
"   18"," 27 ( 8.9) ","  96 ( 6.2) ","",""
"   19"," 22 ( 7.2) "," 101 ( 6.5) ","",""
"   20"," 23 ( 7.5) "," 126 ( 8.1) ","",""
"   21"," 15 ( 4.9) "," 112 ( 7.2) ","",""
"   22"," 20 ( 6.6) "," 152 ( 9.8) ","",""
"   23"," 13 ( 4.3) "," 108 ( 6.9) ","",""
"   24"," 10 ( 3.3) ","  93 ( 6.0) ","",""
"   25"," 16 ( 5.2) ","  83 ( 5.3) ","",""
"   26"," 17 ( 5.6) ","  75 ( 4.8) ","",""
"   27","  9 ( 3.0) ","  67 ( 4.3) ","",""
"   28"," 13 ( 4.3) ","  64 ( 4.1) ","",""
"   29","  2 ( 0.7) ","  50 ( 3.2) ","",""
"   30","  2 ( 0.7) ","  32 ( 2.1) ","",""
"   31","  2 ( 0.7) ","  20 ( 1.3) ","",""
"   32","  3 ( 1.0) ","  24 ( 1.5) ","",""
"   33","  1 ( 0.3) ","   9 ( 0.6) ","",""
"   34","  1 ( 0.3) ","   6 ( 0.4) ","",""
"   35","  2 ( 0.7) ","   6 ( 0.4) ","",""
"   36","  0 ( 0.0) ","   4 ( 0.3) ","",""
"   37","  0 ( 0.0) ","   2 ( 0.1) ","",""
"   38","  0 ( 0.0) ","   2 ( 0.1) ","",""
"   39","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   40","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   41","  0 ( 0.0) ","   1 ( 0.1) ","",""
